#Note: This mapping table is made by me. Not everything is in Unicode- PUA mappings included.

0x00	0x0000	#NULL
0x01	0x0001	#START OF HEADING
0x02	0x0002	#START OF TEXT
0x03	0x0003	#END OF TEXT
0x04	0x0004	#END OF TRANSMISSION
0x05	0x0005	#ENQUIRY
0x06	0x0006	#ACKNOWLEDGE
0x07	0x0007	#BELL
0x08	0x0008	#BACKSPACE
0x09	0x0009	#HORIZONTAL TABULATION
0x0a	0x000a	#LINE FEED
0x0b	0x000b	#VERTICAL TABULATION
0x0c	0x000c	#FORM FEED
0x0d	0x000d	#CARRIAGE RETURN
0x0e	0x000e	#SHIFT OUT
0x0f	0x000f	#SHIFT IN
0x10	0x0010	#DATA LINK ESCAPE
0x11	0x0011	#DEVICE CONTROL ONE
0x12	0x0012	#DEVICE CONTROL TWO
0x13	0x0013	#DEVICE CONTROL THREE
0x14	0x0014	#DEVICE CONTROL FOUR
0x15	0x0015	#NEGATIVE ACKNOWLEDGE
0x16	0x0016	#SYNCHRONOUS IDLE
0x17	0x0017	#END OF TRANSMISSION BLOCK
0x18	0x0018	#CANCEL
0x19	0x0019	#END OF MEDIUM
0x1a	0x001a	#SUBSTITUTE
0x1b	0x001b	#ESCAPE
0x1c	0x001c	#FILE SEPARATOR
0x1d	0x001d	#GROUP SEPARATOR
0x1e	0x001e	#RECORD SEPARATOR
0x1f	0x001f	#UNIT SEPARATOR
0x20	0x0020	#SPACE
0x21	0x00a8	#DIAERESIS
0x22	0x0029	#RIGHT PARENTHESIS
0x23	0x003c	#LESS-THAN SIGN
0x24	0x2264	#LESS-THAN OR EQUAL TO
0x25	0x003d	#EQUALS SIGN
0x26	0x003e	#GREATER-THAN SIGN
0x27	0x005d	#RIGHT SQUARE BRACKET
0x28	0x2228	#LOGICAL OR
0x29	0x2227	#LOGICAL AND
0x2a	0x2260	#NOT EQUAL TO
0x2b	0x00f7	#DIVISION SIGN
0x2b 0x08 0x4c	0x2339	#APL FUNCTIONAL SYMBOL QUAD DIVIDE
0x2c	0x002c	#COMMA
0x2d	0x002b	#PLUS SIGN
0x2e	0x002e	#FULL STOP
0x2f	0x002f	#SOLIDUS
0x30	0x0030	#DIGIT ZERO
0x31	0x0031	#DIGIT ONE
0x32	0x0032	#DIGIT TWO
0x33	0x0033	#DIGIT THREE
0x34	0x0034	#DIGIT FOUR
0x35	0x0035	#DIGIT FIVE
0x36	0x0036	#DIGIT SIX
0x37	0x0037	#DIGIT SEVEN
0x38	0x0038	#DIGIT EIGHT
0x39	0x0039	#DIGIT NINE
0x3a	0x0028	#LEFT PARENTHESIS
0x3b	0x005b	#LEFT SQUARE BRACKET
0x3c	0x003b	#SEMICOLON
0x3d	0x00d7	#MULTIPLICATION SIGN
0x3e	0x003a	#COLON
0x3f	0xf889	#APL FUNCTIONAL SYMBOL SLOPE OR 0x005c #REVERSE SOLIDUS
0x40	0x203e	#OVERLINE
0x41	0x237a	#APL FUNCTIONAL SYMBOL ALPHA
0x42	0x22a5	#UP TACK
0x43	0x2229	#INTERSECTION
0x44	0x230a	#LEFT FLOOR
0x45	0x220a	#SMALL ELEMENT OF
0x46	0x005f	#LOW LINE
0x46 0x08 0x48	0x2359	#APL FUNCTIONAL SYMBOL DELTA UNDERBAR
0x46 0x08 0x61	0xf8f1	#LATIN CAPITAL LETTER A UNDERBAR
0x46 0x08 0x62	0xf8ef	#LATIN CAPITAL LETTER B UNDERBAR
0x46 0x08 0x63	0xf8ed	#LATIN CAPITAL LETTER C UNDERBAR
0x46 0x08 0x64	0xf8eb	#LATIN CAPITAL LETTER D UNDERBAR
0x46 0x08 0x65	0xf8e9	#LATIN CAPITAL LETTER E UNDERBAR
0x46 0x08 0x66	0xf8e7	#LATIN CAPITAL LETTER F UNDERBAR
0x46 0x08 0x67	0xf8e5	#LATIN CAPITAL LETTER G UNDERBAR
0x46 0x08 0x68	0xf8e3	#LATIN CAPITAL LETTER H UNDERBAR
0x46 0x08 0x69	0xf8e1	#LATIN CAPITAL LETTER I UNDERBAR
0x46 0x08 0x6a	0xf8df	#LATIN CAPITAL LETTER J UNDERBAR
0x46 0x08 0x6b	0xf8dd	#LATIN CAPITAL LETTER K UNDERBAR
0x46 0x08 0x6c	0xf8db	#LATIN CAPITAL LETTER L UNDERBAR
0x46 0x08 0x6d	0xf8d9	#LATIN CAPITAL LETTER M UNDERBAR
0x46 0x08 0x6e	0xf8d7	#LATIN CAPITAL LETTER N UNDERBAR
0x46 0x08 0x6f	0xf8d5	#LATIN CAPITAL LETTER O UNDERBAR
0x46 0x08 0x70	0xf8d3	#LATIN CAPITAL LETTER P UNDERBAR
0x46 0x08 0x71	0xf8d1	#LATIN CAPITAL LETTER Q UNDERBAR
0x46 0x08 0x72	0xf8cf	#LATIN CAPITAL LETTER R UNDERBAR
0x46 0x08 0x73	0xf8cd	#LATIN CAPITAL LETTER S UNDERBAR
0x46 0x08 0x74	0xf8cb	#LATIN CAPITAL LETTER T UNDERBAR
0x46 0x08 0x75	0xf8c9	#LATIN CAPITAL LETTER U UNDERBAR
0x46 0x08 0x76	0xf8c7	#LATIN CAPITAL LETTER V UNDERBAR
0x46 0x08 0x77	0xf8c5	#LATIN CAPITAL LETTER W UNDERBAR
0x46 0x08 0x78	0xf8c3	#LATIN CAPITAL LETTER X UNDERBAR
0x46 0x08 0x79	0xf8c1	#LATIN CAPITAL LETTER Y UNDERBAR
0x46 0x08 0x7a	0xf8bf	#LATIN CAPITAL LETTER Z UNDERBAR
0x47	0x2207	#NABLA
0x48	0x2206	#INCREMENT
0x49	0x2373	#APL FUNCTIONAL SYMBOL IOTA
0x4a	0x2218	#RING OPERATOR
0x4a 0x08 0x42	0x234e	#APL FUNCTIONAL SYMBOL DOWN TACK JOT
0x4a 0x08 0x43	0x235d	#APL FUNCTIONAL SYMBOL UP SHOE JOT
0x4a 0x08 0x4E	0x2355	#APL FUNCTIONAL SYMBOL UP TACK JOT
0x4b	0x0027	#APOSTROPHE
0x4b 0x08 0x2e	0xf88e	#APL FUNCTIONAL SYMBOL QUOTE DOT OR 0x0021 EXCLAMATION MARK
0x4b 0x08 0x4c	0x235e	#APL FUNCTIONAL SYMBOL QUOTE QUAD
0x4c	0x2395	#APL FUNCTIONAL SYMBOL QUAD
0x4d	0x2223	#DIVIDES
0x4d 0x08 0x47	0x2352	#APL FUNCTIONAL SYMBOL DEL STILE
0x4d 0x08 0x48	0x234b	#APL FUNCTIONAL SYMBOL DELTA STILE
0x4e	0x22a4	#DOWN TACK
0x4f	0xf890	#APL FUNCTIONAL SYMBOL WHITE CIRCLE
0x4f 0x08 0x3f	0x2349	#APL FUNCTIONAL SYMBOL CIRCLE BACKSLASH
0x4f 0x08 0x4d	0x233d	#APL FUNCTIONAL SYMBOL CIRCLE STILE
0x4f 0x08 0x50	0x235f	#APL FUNCTIONAL SYMBOL CIRCLE STAR
0x4f 0x08 0x5f	0x2296	#CIRCLED MINUS
0x50	0x22c6	#STAR OPERATOR
0x51	0xf888	#APL FUNCTIONAL SYMBOL QUERY OR 0x003f #QUESTION MARK
0x52	0x2374	#APL FUNCTIONAL SYMBOL RHO
0x53	0x2308	#LEFT CEILING
0x54	0xf88f	#APL FUNCTIONAL SYMBOL TILDE
0x54 0x08 0x28	0x2371	#APL FUNCTIONAL SYMBOL DOWN CARET TILDE
0x54 0x08 0x29	0x2372	#APL FUNCTIONAL SYMBOL UP CARET TILDE
0x54 0x08 0x47	0x236b	#APL FUNCTIONAL SYMBOL DEL TILDE
0x55	0xf88a	#APL FUNCTIONAL SYMBOL DOWN ARROW
0x56	0x222a	#UNION
0x57	0x2375	#APL FUNCTIONAL SYMBOL OMEGA
0x58	0x2283	#SUPERSET OF
0x59	0xf88b	#APL FUNCTIONAL SYMBOL UP ARROW
0x5a	0x2282	#SUBSET OF
0x5b	0xf88d	#APL FUNCTIONAL SYMBOL LEFT ARROW
0x5c	0x22a2	#RIGHT TACK
0x5d	0xf88c	#APL FUNCTIONAL SYMBOL RIGHT ARROW
0x5e	0x2265	#GREATER-THAN OR EQUAL TO
0x5f	0x002D	#HYPHEN-MINUS
0x5f 0x08 0x2f	0x233f	#APL FUNCTIONAL SYMBOL SLASH BAR
0x5f 0x08 0x3f	0x2340	#APL FUNCTIONAL SYMBOL BACKSLASH BAR
0x60	0x22C4	#DIAMOND OPERATOR
0x61	0x0041	#LATIN CAPITAL LETTER A
0x62	0x0042	#LATIN CAPITAL LETTER B
0x63	0x0043	#LATIN CAPITAL LETTER C
0x64	0x0044	#LATIN CAPITAL LETTER D
0x65	0x0045	#LATIN CAPITAL LETTER E
0x66	0x0046	#LATIN CAPITAL LETTER F
