#Note: Created by me.


0x20	0x0020	#SPACE
0x21		#UNDEFINED
0x22		#UNDEFINED
0x23		#UNDEFINED
0x24		#UNDEFINED
0x25		#UNDEFINED
0x26		#UNDEFINED
0x27		#UNDEFINED
0x28		#UNDEFINED
0x29		#UNDEFINED
0x2a		#UNDEFINED
0x2b		#UNDEFINED
0x2c		#UNDEFINED
0x2d		#UNDEFINED
0x2e		#UNDEFINED
0x2f		#UNDEFINED
0x30		#UNDEFINED
0x31		#UNDEFINED
0x32		#UNDEFINED
0x33		#UNDEFINED
0x34		#UNDEFINED
0x35		#UNDEFINED
0x36		#UNDEFINED
0x37		#UNDEFINED
0x38		#UNDEFINED
0x39		#UNDEFINED
0x3a		#UNDEFINED
0x3b		#UNDEFINED
0x3c		#UNDEFINED
0x3d		#UNDEFINED
0x3e		#UNDEFINED
0x3f		#UNDEFINED
