#Note: This mapping table is made by me. 

0x00	0x0000	#NULL
0x01	0x0001	#START OF HEADING
0x02	0x0002	#START OF TEXT
0x03	0x0003	#END OF TEXT
0x04	0x0004	#END OF TRANSMISSION
0x05	0x0005	#ENQUIRY
0x06	0x0006	#ACKNOWLEDGE
0x07	0x0007	#BELL
0x08	0x0008	#BACKSPACE
0x09	0x0009	#HORIZONTAL TABULATION
0x0a	0x000a	#LINE FEED
0x0b	0x000b	#VERTICAL TABULATION
0x0c	0x000c	#FORM FEED
0x0d	0x000d	#CARRIAGE RETURN
0x0e	0x000e	#SHIFT OUT
0x0f	0x000f	#SHIFT IN
0x10	0x0010	#DATA LINK ESCAPE
0x11	0x0011	#DEVICE CONTROL ONE
0x12	0x0012	#DEVICE CONTROL TWO
0x13	0x0013	#DEVICE CONTROL THREE
0x14	0x0014	#DEVICE CONTROL FOUR
0x15	0x0015	#NEGATIVE ACKNOWLEDGE
0x16	0x0016	#SYNCHRONOUS IDLE
0x17	0x0017	#END OF TRANSMISSION BLOCK
0x18	0x0018	#CANCEL
0x19	0x0019	#END OF MEDIUM
0x1a	0x001a	#SUBSTITUTE
0x1b	0x001b	#ESCAPE
0x1c	0x001c	#FILE SEPARATOR
0x1d	0x001d	#GROUP SEPARATOR
0x1e	0x001e	#RECORD SEPARATOR
0x1f	0x001f	#UNIT SEPARATOR
0x20	0x0020	#SPACE
0x21	0x00c0	#LATIN CAPITAL LETTER A WITH GRAVE
0x22	0x00c2	#LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x23	0x00c8	#LATIN CAPITAL LETTER E WITH GRAVE
0x24	0x00ca	#LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x25	0x00cb	#LATIN CAPITAL LETTER E WITH DIAERESIS
0x26	0x00ce	#LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x27	0x00cf	#LATIN CAPITAL LETTER I WITH DIAERESIS
0x28	0x00b4  #ACUTE ACCENT
0x29	0x02cb	#MODIFIER LETTER GRAVE ACCENT
0x2a	0x02c6	#MODIFIER LETTER CIRCUMFLEX ACCENT
0x2b	0x00a8  #DIAERESIS
0x2c	0x02dc	#SMALL TILDE
0x2d	0x00d9	#LATIN CAPITAL LETTER U WITH GRAVE
0x2e	0x00db	#LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x2f	0x20a4	#LIRA SIGN
0x30	0x00af  #MACRON
0x31	0x00dd	#LATIN CAPITAL LETTER Y WITH ACUTE
0x32	0x00fd	#LATIN SMALL LETTER Y WITH ACUTE
0x33	0x02da	#RING ABOVE
0x34	0x00c7	#LATIN CAPITAL LETTER C WITH CEDILLA
0x35	0x00e7	#LATIN SMALL LETTER C WITH CEDILLA
0x36	0x00d1	#LATIN CAPITAL LETTER N WITH TILDE
0x37	0x00f1	#LATIN SMALL LETTER N WITH TILDE
0x38	0x00a1	#INVERTED EXCLAMATION MARK
0x39	0x00bf	#INVERTED QUESTION MARK
0x3a	0x00a4	#CURRENCY SIGN
0x3b	0x00a3	#POUND SIGN
0x3c	0x00a5	#YEN SIGN
0x3d	0x00a7	#SECTION SIGN
0x3e	0x0192	#LATIN SMALL LETTER F WITH HOOK
0x3f	0x00a2	#CENT SIGN
0x40	0x00e2	#LATIN SMALL LETTER A WITH CIRCUMFLEX
0x41	0x00ea	#LATIN SMALL LETTER E WITH CIRCUMFLEX
0x42	0x00f4	#LATIN SMALL LETTER O WITH CIRCUMFLEX
0x43	0x00fb	#LATIN SMALL LETTER U WITH CIRCUMFLEX
0x44	0x00e1	#LATIN SMALL LETTER A WITH ACUTE
0x45	0x00e9	#LATIN SMALL LETTER E WITH ACUTE
0x46	0x00f3	#LATIN SMALL LETTER O WITH ACUTE
0x47	0x00fa	#LATIN SMALL LETTER U WITH ACUTE
0x48	0x00e0	#LATIN SMALL LETTER A WITH GRAVE
0x49	0x00e8	#LATIN SMALL LETTER E WITH GRAVE
0x4a	0x00f2	#LATIN SMALL LETTER O WITH GRAVE
0x4b	0x00f9	#LATIN SMALL LETTER U WITH GRAVE
0x4c	0x00e4	#LATIN SMALL LETTER A WITH DIAERESIS
0x4d	0x00eb	#LATIN SMALL LETTER E WITH DIAERESIS
0x4e	0x00f6	#LATIN SMALL LETTER O WITH DIAERESIS
0x4f	0x00fc	#LATIN SMALL LETTER U WITH DIAERESIS
0x50	0x00c5	#LATIN CAPITAL LETTER A WITH RING ABOVE
0x51	0x00ee	#LATIN SMALL LETTER I WITH CIRCUMFLEX
0x52	0x00d8	#LATIN CAPITAL LETTER O WITH STROKE
0x53	0x00c6	#LATIN CAPITAL LIGATURE AE
0x54	0x00e5	#LATIN SMALL LETTER A WITH RING ABOVE
0x55	0x00ed	#LATIN SMALL LETTER I WITH ACUTE
0x56	0x00f8	#LATIN SMALL LETTER O WITH STROKE
0x57	0x00e6	#LATIN SMALL LIGATURE AE
0x58	0x00c4	#LATIN CAPITAL LETTER A WITH DIAERESIS
0x59	0x00ec	#LATIN SMALL LETTER I WITH GRAVE
0x5a	0x00d6	#LATIN CAPITAL LETTER O WITH DIAERESIS
0x5b	0x00dc	#LATIN CAPITAL LETTER U WITH DIAERESIS
0x5c	0x00c9	#LATIN CAPITAL LETTER E WITH ACUTE
0x5d	0x00ef	#LATIN SMALL LETTER I WITH DIAERESIS
0x5e	0x00df	#LATIN SMALL LETTER SHARP S
0x5f	0x00d4	#LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xe0	0x00c1	#LATIN CAPITAL LETTER A WITH ACUTE
0x61	0x00c3	#LATIN CAPITAL LETTER A WITH TILDE
0x62	0x00e3	#LATIN SMALL LETTER A WITH TILDE
0x63	0x00d0	#LATIN CAPITAL LETTER ETH
0x64	0x00f0	#LATIN SMALL LETTER ETH
0x65	0x00cd	#LATIN CAPITAL LETTER I WITH ACUTE
0x66	0x00cc	#LATIN CAPITAL LETTER I WITH GRAVE
0x67	0x00d3	#LATIN CAPITAL LETTER O WITH ACUTE
0x68	0x00d2	#LATIN CAPITAL LETTER O WITH GRAVE
0x69	0x00d5	#LATIN CAPITAL LETTER O WITH TILDE
0x6a	0x00f5	#LATIN SMALL LETTER O WITH TILDE
0x6b	0x0160	#LATIN CAPITAL LETTER S WITH CARON
0x6c	0x0161	#LATIN SMALL LETTER S WITH CARON
0x6d	0x00da	#LATIN CAPITAL LETTER U WITH ACUTE
0x6e	0x0178	#LATIN CAPITAL LETTER Y WITH DIAERESIS
0x6f	0x00ff	#LATIN SMALL LETTER Y WITH DIAERESIS
0x70	0x00de	#LATIN CAPITAL LETTER THORN
0x71	0x00fe	#LATIN SMALL LETTER THORN
0x72	0x00b7	#MIDDLE DOT
0x73	0x00b5	#MICRO SIGN
0x74	0x00b6	#PILCROW SIGN
0x75	0x00be	#VULGAR FRACTION THREE QUARTERS
0x76	0x00ad	#SOFT HYPHEN
0x77	0x00bc	#VULGAR FRACTION ONE QUARTER
0x78	0x00bd	#VULGAR FRACTION ONE HALF
0x79	0x00aa	#FEMININE ORDINAL INDICATOR
0x7a	0x00ba	#MASCULINE ORDINAL INDICATOR
0x7b	0x00ab	#LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x7c	0x25a0	#BLACK SQUARE
0x7d	0x00bb	#RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x7e	0x00b1	#PLUS-MINUS SIGN
0x7f	0x007f	#DELETE
