#Note: This mapping table is made by me. This is DEC Technical- code page number assumed. Code points in asterisks are approximations.

0x00	0x0000	#NULL
0x01	0x0001	#START OF HEADING
0x02	0x0002	#START OF TEXT
0x03	0x0003	#END OF TEXT
0x04	0x0004	#END OF TRANSMISSION
0x05	0x0005	#ENQUIRY
0x06	0x0006	#ACKNOWLEDGE
0x07	0x0007	#BELL
0x08	0x0008	#BACKSPACE
0x09	0x0009	#HORIZONTAL TABULATION
0x0a	0x000a	#LINE FEED
0x0b	0x000b	#VERTICAL TABULATION
0x0c	0x000c	#FORM FEED
0x0d	0x000d	#CARRIAGE RETURN
0x0e	0x000e	#SHIFT OUT
0x0f	0x000f	#SHIFT IN
0x10	0x0010	#DATA LINK ESCAPE
0x11	0x0011	#DEVICE CONTROL ONE
0x12	0x0012	#DEVICE CONTROL TWO
0x13	0x0013	#DEVICE CONTROL THREE
0x14	0x0014	#DEVICE CONTROL FOUR
0x15	0x0015	#NEGATIVE ACKNOWLEDGE
0x16	0x0016	#SYNCHRONOUS IDLE
0x17	0x0017	#END OF TRANSMISSION BLOCK
0x18	0x0018	#CANCEL
0x19	0x0019	#END OF MEDIUM
0x1a	0x001a	#SUBSTITUTE
0x1b	0x001b	#ESCAPE
0x1c	0x001c	#FILE SEPARATOR
0x1d	0x001d	#GROUP SEPARATOR
0x1e	0x001e	#RECORD SEPARATOR
0x1f	0x001f	#UNIT SEPARATOR
0x20	0x0020	#SPACE
0x21	0x23b7	#RADICAL SYMBOL BOTTOM
0x22	0x250c	#BOX DRAWINGS LIGHT DOWN AND RIGHT
0x23	0x2500	#BOX DRAWINGS LIGHT HORIZONTAL
0x24	0x2320	#TOP HALF INTEGRAL
0x25	0x2321	#BOTTOM HALF INTEGRAL
0x26	0x2502	#BOX DRAWINGS LIGHT VERTICAL
0x27	0x23a1	#LEFT SQUARE BRACKET UPPER CORNER (3.2)
0x28	0x23a3	#LEFT SQUARE BRACKET LOWER CORNER (3.2)
0x29	0x23a4	#RIGHT SQUARE BRACKET UPPER CORNER (3.2)
0x2a	0x23a6	#RIGHT SQUARE BRACKET LOWER CORNER (3.2)
0x2b	0x239b	#LEFT PARENTHESIS UPPER HOOK (3.2)
0x2c	0x239d	#LEFT PARENTHESIS LOWER HOOK (3.2)
0x2d	0x239e	#RIGHT PARENTHESIS UPPER HOOK (3.2)
0x2e	0x23a0	#RIGHT PARENTHESIS LOWER HOOK (3.2)
0x2f	0x23a8	#LEFT CURLY BRACKET EXTENSION (3.2)
0x30	0x23ac	#RIGHT CURLY BRACKET EXTENSION (3.2)
0x31	0x23b2*	#TOP LEFT SIGMA
0x32	0x23b3*	#BOTTOM LEFT SIGMA
0x33	0x2572*	#TOP DIAGONAL SIGMA
0x34	0x2571*	#BOTTOM DIAGONAL SIGMA
0x35	0x231d*	#TOP RIGHT SIGMA
0x36	0x231f*	#BOTTOM RIGHT SIGMA
0x37	0x27e9*	#MIDDLE SIGMA (3.2)- PREVIOUSLY 0x232a
0x38	    #UNDEFINED
0x39	    #UNDEFINED
0x3a	    #UNDEFINED
0x3b	    #UNDEFINED
0x3c	0x2264	#LESS-THAN OR EQUAL TO
0x3d	0x2260	#NOT EQUAL TO
0x3e	0x2265	#GREATER-THAN OR EQUAL TO
0x3f	0x222b	#INTEGRAL
0x40	0x2234	#THEREFORE
0x41	0x221d	#PROPORTIONAL TO
0x42	0x221e	#INFINITY
0x43	0x00f7	#DIVISION SIGN
0x44	0x0394	#GREEK CAPITAL LETTER DELTA
0x45	0x2207	#NABLA
0x46	0x03a6	#GREEK CAPITAL LETTER PHI
0x47	0x0393	#GREEK CAPITAL LETTER GAMMA
0x48	0x223c	#TILDE OPERATOR
0x49	0x2243	#ASYMPTOTICALLY EQUAL TO
0x4a	0x0398	#GREEK CAPITAL LETTER THETA
0x4b	0x00d7	#MULTIPLICATION SIGN
0x4c	0x039b	#GREEK CAPITAL LETTER LAMDA
0x4d	0x21d4	#LEFT RIGHT DOUBLE ARROW
0x4e	0x21d2	#RIGHTWARDS DOUBLE ARROW
0x4f	0x2261	#IDENTICAL TO
0x50	0x03a0	#GREEK CAPITAL LETTER PI
0x51	0x03a8	#GREEK CAPITAL LETTER PSI
0x52	    #UNDEFINED
0x53	0x03a3	#GREEK CAPITAL LETTER SIGMA
0x54	    #UNDEFINED
0x55	    #UNDEFINED
0x56	0x221a	#SQUARE ROOT
0x57	0x03a9	#GREEK CAPITAL LETTER OMEGA
0x58	0x039e	#GREEK CAPITAL LETTER XI
0x59	0x03a5	#GREEK CAPITAL LETTER UPSILON
0x5a	0x2282	#SUBSET OF
0x5b	0x2283	#SUPERSET OF
0x5c	0x2229	#INTERSECTION
0x5d	0x222a	#UNION
0x5e	0x2227	#LOGICAL AND
0x5f	0x2228	#LOGICAL OR
0x60	0x00ac	#NOT SIGN
0x61	0x03b1	#GREEK SMALL LETTER ALPHA
0x62	0x03b2	#GREEK SMALL LETTER BETA
0x63	0x03c7	#GREEK SMALL LETTER CHI
0x64	0x03b4	#GREEK SMALL LETTER DELTA
0x65	0x03b5	#GREEK SMALL LETTER EPSILON
0x66	0x03c6	#GREEK SMALL LETTER PHI
0x67	0x03b3	#GREEK SMALL LETTER GAMMA
0x68	0x03b7	#GREEK SMALL LETTER ETA
0x69	0x03b9	#GREEK SMALL LETTER IOTA
0x6a	0x03b8	#GREEK SMALL LETTER THETA
0x6b	0x03ba	#GREEK SMALL LETTER KAPPA
0x6c	0x03bb	#GREEK SMALL LETTER LAMDA
0x6d	    #UNDEFINED
0x6e	0x03bd	#GREEK SMALL LETTER NU
0x6f	0x2202	#PARTIAL DIFFERENTIAL
0x70	0x03c0	#GREEK SMALL LETTER PI
0x71	0x03c8	#GREEK SMALL LETTER PSI
0x72	0x03c1	#GREEK SMALL LETTER RHO
0x73	0x03c3	#GREEK SMALL LETTER SIGMA
0x74	0x03c4	#GREEK SMALL LETTER TAU
0x75	    #UNDEFINED
0x76	0x0192	#LATIN SMALL LETTER F WITH HOOK
0x77	0x03c9	#GREEK SMALL LETTER OMEGA
0x78	0x03be	#GREEK SMALL LETTER XI
0x79	0x03c5	#GREEK SMALL LETTER UPSILON
0x7a	0x03b6	#GREEK SMALL LETTER ZETA
0x7b	0x03c0	#GREEK SMALL LETTER PI
0x7c	0x2190	#LEFTWARDS ARROW
0x7d	0x2191	#UPWARDS ARROW
0x7e	0x2192	#RIGHTWARDS ARROW
0x7f	0x2193	#DOWNWARDS ARROW
