#Supplement to Code page 919 at https://github.com/dosbox-staging/dosbox-staging/blob/main/resources/mapping-wikipedia.org/CP_919.TXT
#Characters at 0x43 and 0x63 and their Unicode mappings are supposed to be LATIN LETTER A WITH RING ABOVE AND MACRON, but the error was caught too late.

0x20		0x00b4  #ACUTE ACCENT
0x21		#UNDEFINED
0x22		#UNDEFINED
0x23		#UNDEFINED
0x24		#UNDEFINED
0x25		#UNDEFINED
0x26		#UNDEFINED
0x27		#UNDEFINED
0x28		#UNDEFINED
0x29		#UNDEFINED
0x2a		#UNDEFINED
0x2b		#UNDEFINED
0x2c		#UNDEFINED
0x2d		#UNDEFINED
0x2e		#UNDEFINED
0x2f		#UNDEFINED
0x30		0x02bd  #MODIFIER LETTER REVERSED COMMA
0x31		#UNDEFINED
0x32		#UNDEFINED
0x33		#UNDEFINED
0x34		#UNDEFINED
0x35		#UNDEFINED
0x36		#UNDEFINED
0x37		#UNDEFINED
0x38		#UNDEFINED
0x39		#UNDEFINED
0x3a		#UNDEFINED
0x3b		#UNDEFINED
0x3c		#UNDEFINED
0x3d		#UNDEFINED
0x3e		#UNDEFINED
0x3f		#UNDEFINED
0x40		0x0102	#LATIN CAPITAL LETTER A WITH BREVE
0x41		0x00c0  #LATIN CAPITAL LETTER A WITH GRAVE
0x42		0x01de  #LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
0x43		0x01e0  #LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON (SEE NOTE ABOVE)
0x44		0x01e2  #LATIN CAPITAL LIGATURE AE WITH MACRON
0x45		0x0114	#LATIN CAPITAL LETTER E WITH BREVE
0x46		0x00c8  #LATIN CAPITAL LETTER E WITH GRAVE
0x47		0x01e4  #LATIN CAPITAL LETTER G WITH STROKE
0x48		0x01e6  #LATIN CAPITAL LETTER G WITH CARON
0x49		0x01e8  #LATIN CAPITAL LETTER K WITH CARON
0x4a		0x014e	#LATIN CAPITAL LETTER O WITH BREVE
0x4b		0x00d2  #LATIN CAPITAL LETTER O WITH GRAVE
0x4c		0x01ea  #LATIN CAPITAL LETTER O WITH OGONEK
0x4d		0x01ec  #LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
0x4e		0x01b7  #LATIN CAPITAL LETTER EZH
0x4f		0x01ee  #LATIN CAPITAL LETTER EZH WITH CARON
0x50		#UNDEFINED
0x51		#UNDEFINED
0x52		#UNDEFINED
0x53		#UNDEFINED
0x54		#UNDEFINED
0x55		#UNDEFINED
0x56		#UNDEFINED
0x57		#UNDEFINED
0x58		#UNDEFINED
0x59		#UNDEFINED
0x5a		#UNDEFINED
0x5b		#UNDEFINED
0x5c		#UNDEFINED
0x5d		#UNDEFINED
0x5e		#UNDEFINED
0x5f		#UNDEFINED
0x60		0x0103	#LATIN SMALL LETTER A WITH BREVE
0x61		0x00e0  #LATIN SMALL LETTER A WITH GRAVE
0x62		0x01df  #LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
0x63		0x01e1  #LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON (SEE NOTE ABOVE)
0x64		0x01e3  #LATIN SMALL LIGATURE AE WITH MACRON
0x65		0x0115	#LATIN SMALL LETTER E WITH BREVE
0x66		0x00e8  #LATIN SMALL LETTER E WITH GRAVE
0x67		0x01e5  #LATIN SMALL LETTER G WITH STROKE
0x68		0x01e7  #LATIN SMALL LETTER G WITH CARON
0x69		0x01e9  #LATIN SMALL LETTER K WITH CARON
0x6a		0x014f	#LATIN SMALL LETTER O WITH BREVE
0x6b		0x00f2  #LATIN SMALL LETTER O WITH GRAVE
0x6c		0x01eb  #LATIN SMALL LETTER O WITH OGONEK
0x6d		0x01ed  #LATIN SMALL LETTER O WITH OGONEK AND MACRON
0x6e		0x0292  #LATIN SMALL LETTER EZH
0x6f		0x01ef  #LATIN SMALL LETTER EZH WITH CARON
0x70		#UNDEFINED
0x71		#UNDEFINED
0x72		#UNDEFINED
0x73		#UNDEFINED
0x74		#UNDEFINED
0x75		#UNDEFINED
0x76		#UNDEFINED
0x77		#UNDEFINED
0x78		#UNDEFINED
0x79		#UNDEFINED
0x7a		#UNDEFINED
0x7b		#UNDEFINED
0x7c		#UNDEFINED
0x7d		#UNDEFINED
0x7e		#UNDEFINED
0x7f		#UNDEFINED
