#Note: This Polytonic Greek mapping was made by me from the paratype.com archive.

0x00	0x0000	#NULL
0x01	0x0001	#START OF HEADING
0x02	0x0002	#START OF TEXT
0x03	0x0003	#END OF TEXT
0x04	0x0004	#END OF TRANSMISSION
0x05	0x0005	#ENQUIRY
0x06	0x0006	#ACKNOWLEDGE
0x07	0x0007	#BELL
0x08	0x0008	#BACKSPACE
0x09	0x0009	#HORIZONTAL TABULATION
0x0a	0x000a	#LINE FEED
0x0b	0x000b	#VERTICAL TABULATION
0x0c	0x000c	#FORM FEED
0x0d	0x000d	#CARRIAGE RETURN
0x0e	0x000e	#SHIFT OUT
0x0f	0x000f	#SHIFT IN
0x10	0x0010	#DATA LINK ESCAPE
0x11	0x0011	#DEVICE CONTROL ONE
0x12	0x0012	#DEVICE CONTROL TWO
0x13	0x0013	#DEVICE CONTROL THREE
0x14	0x0014	#DEVICE CONTROL FOUR
0x15	0x0015	#NEGATIVE ACKNOWLEDGE
0x16	0x0016	#SYNCHRONOUS IDLE
0x17	0x0017	#END OF TRANSMISSION BLOCK
0x18	0x0018	#CANCEL
0x19	0x0019	#END OF MEDIUM
0x1a	0x001a	#SUBSTITUTE
0x1b	0x001b	#ESCAPE
0x1c	0x001c	#FILE SEPARATOR
0x1d	0x001d	#GROUP SEPARATOR
0x1e	0x001e	#RECORD SEPARATOR
0x1f	0x001f	#UNIT SEPARATOR
0x20	0x0020	#SPACE
0x21	0x0021	#EXCLAMATION MARK
0x22	0x0022	#QUOTATION MARK
0x23	0x0023	#NUMBER SIGN
0x24	0x0024	#DOLLAR SIGN
0x25	0x0025	#PERCENT SIGN
0x26	0x0026	#AMPERSAND
0x27	0x0027	#APOSTROPHE
0x28	0x0028	#LEFT PARENTHESIS
0x29	0x0029	#RIGHT PARENTHESIS
0x2a	0x002a	#ASTERISK
0x2b	0x002b	#PLUS SIGN
0x2c	0x002c	#COMMA
0x2d	0x002d	#HYPHEN-MINUS
0x2e	0x002e	#FULL STOP
0x2f	0x002f	#SOLIDUS
0x30	0x0030	#DIGIT ZERO
0x31	0x0031	#DIGIT ONE
0x32	0x0032	#DIGIT TWO
0x33	0x0033	#DIGIT THREE
0x34	0x0034	#DIGIT FOUR
0x35	0x0035	#DIGIT FIVE
0x36	0x0036	#DIGIT SIX
0x37	0x0037	#DIGIT SEVEN
0x38	0x0038	#DIGIT EIGHT
0x39	0x0039	#DIGIT NINE
0x3a	0x003a	#COLON
0x3b	0x003b	#SEMICOLON
0x3c	0x003c	#LESS-THAN SIGN
0x3d	0x003d	#EQUALS SIGN
0x3e	0x003e	#GREATER-THAN SIGN
0x3f	0x003f	#QUESTION MARK
0x40	0x03f2	#GREEK LUNATE SIGMA SYMBOL
0x41	0x0041	#LATIN CAPITAL LETTER A
0x42	0x0042	#LATIN CAPITAL LETTER B
0x43	0x1f12	#GREEK SMALL LETTER EPSILON WITH PSILI AND VARIA
0x44	0x1f32	#GREEK SMALL LETTER IOTA WITH PSILI AND VARIA
0x45	0x0045	#LATIN CAPITAL LETTER E
0x46	0x037a	#GREEK YPOGEGRAMMENI OR 0x1fbe	#GREEK PROSGEGRAMMENI- DEAD KEY
0x47	0x1f52	#GREEK SMALL LETTER UPSILON WITH PSILI AND VARIA
0x48	0x0048	#LATIN CAPITAL LETTER H
0x49	0x0049	#LATIN CAPITAL LETTER I
0x4a	0x1f62	#GREEK SMALL LETTER OMEGA WITH PSILI AND VARIA
0x4b	0x004b	#LATIN CAPITAL LETTER K
0x4c	0x1f03	#GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA
0x4d	0x004d	#LATIN CAPITAL LETTER M
0x4e	0x004e	#LATIN CAPITAL LETTER N
0x4f	0x004f	#LATIN CAPITAL LETTER O
0x50	0x0050	#LATIN CAPITAL LETTER P
0x51	0x1f33	#GREEK SMALL LETTER IOTA WITH DASIA AND VARIA
0x52	0x1f53	#GREEK SMALL LETTER UPSILON WITH DASIA AND VARIA
0x53	0x1f63	#GREEK SMALL LETTER OMEGA WITH DASIA AND VARIA
0x54	0x0054	#LATIN CAPITAL LETTER T
0x55	0x1fd2	#GREEK SMALL LETTER IOTA WITH DIALYTIKA AND VARIA
0x56	0x1fe2	#GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND VARIA
0x57	0x1fe4	#GREEK SMALL LETTER RHO WITH PSILI
0x58	0x0058	#LATIN CAPITAL LETTER X
0x59	0x0059	#LATIN CAPITAL LETTER Y
0x5a	0x005a	#LATIN CAPITAL LETTER Z
0x5b	0x005b	#LEFT SQUARE BRACKET
0x5c	0x1fbf	#GREEK PSILI
0x5d	0x005d	#RIGHT SQUARE BRACKET
0x5e	0x1ffe	#GREEK DASIA
0x5f	0x005f	#LOW LINE
0x60	0x1fef	#GREEK VARIA
0x61	0x1f70	#GREEK SMALL LETTER ALPHA WITH VARIA
0x62	0x1f72	#GREEK SMALL LETTER EPSILON WITH VARIA
0x63	0x1f74	#GREEK SMALL LETTER ETA WITH VARIA
0x64	0x1f76	#GREEK SMALL LETTER IOTA WITH VARIA
0x65	0x1f78	#GREEK SMALL LETTER OMICRON WITH VARIA
0x66	0x1f7a	#GREEK SMALL LETTER UPSILON WITH VARIA
0x67	0x1f7c	#GREEK SMALL LETTER OMEGA WITH VARIA
0x68	0x1fcd	#GREEK PSILI AND VARIA
0x69	0x1f02	#GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA
0x6a	0x1f22	#GREEK SMALL LETTER ETA WITH PSILI AND VARIA
0x6b	0x1f42	#GREEK SMALL LETTER OMICRON WITH PSILI AND VARIA
0x6c	0x1fdd	#GREEK DASIA AND VARIA
0x6d	0x1f23	#GREEK SMALL LETTER ETA WITH DASIA AND VARIA
0x6e	0x1f43	#GREEK SMALL LETTER OMICRON WITH DASIA AND VARIA
0x6f	0x1fcf	#GREEK PSILI AND PERISPOMENI
0x70	0x1f06	#GREEK SMALL LETTER ALPHA WITH PSILI AND PERISPOMENI
0x71	0x1f26	#GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI
0x72	0x1f36	#GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
0x73	0x1f56	#GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
0x74	0x1f66	#GREEK SMALL LETTER OMEGA WITH PSILI AND PERISPOMENI
0x75	0x1fdf	#GREEK DASIA AND PERISPOMENI
0x76	0x1f07	#GREEK SMALL LETTER ALPHA WITH DASIA AND PERISPOMENI
0x77	0x1f27	#GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI
0x78	0x1f37	#GREEK SMALL LETTER IOTA WITH DASIA AND PERISPOMENI
0x79	0x1f57	#GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
0x7a	0x1f67	#GREEK SMALL LETTER OMEGA WITH DASIA AND PERISPOMENI
0x7b	0x007b	#LEFT CURLY BRACKET
0x7c	0x007c	#VERTICAL LINE
0x7d	0x007d	#RIGHT CURLY BRACKET
0x7e	0x1fc0	#GREEK PERISPOMENI
0x7f	0x007f	#DELETE
0x80	0x1fb6	#GREEK SMALL LETTER ALPHA WITH PERISPOMENI
0x81	0x00b9	#SUPERSCRIPT ONE
0x82	0x00b2	#SUPERSCRIPT TWO
0x83	0x1fc6	#GREEK SMALL LETTER ETA WITH PERISPOMENI
0x84	0x00b3	#SUPERSCRIPT THREE
0x85	0x1fd6	#GREEK SMALL LETTER IOTA WITH PERISPOMENI
0x86	0x1fe6	#GREEK SMALL LETTER UPSILON WITH PERISPOMENI
0x87	0x1ff6	#GREEK SMALL LETTER OMEGA WITH PERISPOMENI
0x88	0x1f00	#GREEK SMALL LETTER ALPHA WITH PSILI
0x89	0x1f10	#GREEK SMALL LETTER EPSILON WITH PSILI
0x8a	0x1f20	#GREEK SMALL LETTER ETA WITH PSILI
0x8b	0x1ffd	#GREEK OXIA
0x8c	0x1f30	#GREEK SMALL LETTER IOTA WITH PSILI
0x8d	0x1f40	#GREEK SMALL LETTER OMICRON WITH PSILI
0x8e	0x1f50	#GREEK SMALL LETTER UPSILON WITH PSILI
0x8f	0x1f60	#GREEK SMALL LETTER OMEGA WITH PSILI
0x90	0x1f01	#GREEK SMALL LETTER ALPHA WITH DASIA
0x91	0x1f11	#GREEK SMALL LETTER EPSILON WITH DASIA
0x92	0x1f13	#GREEK SMALL LETTER EPSILON WITH DASIA AND VARIA
0x93	0x1f21	#GREEK SMALL LETTER ETA WITH DASIA
0x94	0x1f31	#GREEK SMALL LETTER IOTA WITH DASIA
0x95	0x1f41	#GREEK SMALL LETTER OMICRON WITH DASIA
0x96	0x1f51	#GREEK SMALL LETTER UPSILON WITH DASIA
